id,icao_code,name,latitude,longitude
2233,EDGS,Siegerland Airport,50.707699,8.08297
2234,EDHI,Hamburg-Finkenwerder Airport,53.53527832,9.83555603
2235,EDHK,Kiel-Holtenau Airport,54.37957,10.145266
2236,EDHL,Lübeck Blankensee Airport,53.805401,10.7192
2237,EDJA,Memmingen Allgau Airport,47.98880005,10.23950005
2243,EDLN,Mönchengladbach Airport,51.230278,6.504444
2244,EDLP,Paderborn Lippstadt Airport,51.614101,8.61632
2246,EDLV,Weeze Airport,51.60240173,6.142169952
2247,EDLW,Dortmund Airport,51.518299,7.61224
2248,EDMA,Augsburg Airport,48.425278,10.931667
2252,EDMO,Oberpfaffenhofen Airport,48.081402,11.2831
2256,EDNY,Friedrichshafen Airport,47.671299,9.51149
317932,EDQA,Bamberg-Breitenau Airfield,49.920403,10.914233
2261,EDQD,Bayreuth Airport,49.985001,11.64
2263,EDQM,Hof-Plauen Airport,50.288544,11.852876
